,customer_id,age,gender,name
0,C241288,28,Mujer,Daniela Romero
1,C111565,21,Hombre,Emiliano Ríos
2,C266599,20,Hombre,Víctor Manuel Mendoza
3,C988172,66,Mujer,Gloria Mendoza
4,C189076,53,Mujer,Sara López
5,C657758,28,Mujer,Ximena Cruz
6,C151197,49,Mujer,Sara Sofía Rodríguez
7,C176086,32,Mujer,Sandra Milena Guerrero
8,C159642,69,Hombre,Cristian Cárdenas
9,C283361,60,Mujer,Danna Sofía Londoño
10,C240286,36,Mujer,María Paula Romero
11,C191708,29,Mujer,Alejandra Castro
12,C225330,67,Mujer,Danna Sofía Guerrero
13,C312861,25,Hombre,Juan Sebastián Ruiz
14,C555402,67,Mujer,Ana Marín
15,C362288,24,Hombre,Juan Pablo Londoño
16,C300786,65,Hombre,Luis Pineda
17,C330667,42,Mujer,Sandra Salazar
18,C218149,46,Mujer,Dulce María Pineda
19,C196845,24,Hombre,Juan Camilo Ramírez
20,C220180,23,Hombre,Juan Sebastián Londoño
21,C125696,27,Mujer,Manuela Mesa
22,C322947,52,Hombre,Oscar Vega
23,C313348,44,Hombre,José Luis Guerrero
24,C204553,42,Mujer,Dulce María Botero
25,C285161,51,Hombre,Kevin Santiago Henao
26,C289625,25,Mujer,Laura Sofía Quintero
27,C192344,50,Hombre,Daniel Guerrero
28,C447138,65,Mujer,Paula Zapata
29,C251229,29,Hombre,Jorge Gallego
30,C159164,66,Mujer,Juliana Castro
31,C501658,23,Hombre,Gabriel Rojas
32,C176727,32,Mujer,Luz Marina Cárdenas
33,C232624,51,Hombre,Hector Zapata
34,C164092,66,Mujer,Sara Sofía Moreno
35,C276887,68,Hombre,Cristian Rojas
36,C245456,43,Hombre,Miguel Soto
37,C450287,59,Mujer,Laura Valentina Ruiz
38,C204279,54,Hombre,David Quintero
39,C452806,24,Hombre,Miguel Ángel Castro
40,C716788,49,Mujer,Liliana Vargas
41,C155059,67,Hombre,Oscar Henao
42,C306662,48,Mujer,Diana González
43,C607615,40,Mujer,María Alejandra Muñoz
44,C120164,41,Mujer,Alejandra Soto
45,C134449,46,Hombre,Tomás Franco
46,C317818,19,Mujer,Juana Parra
47,C241642,43,Mujer,Sara Valentina Vega
48,C126436,18,Hombre,Sergio Díaz
49,C653385,22,Mujer,Sara Sofía Botero
50,C227070,61,Mujer,Luz Marina Rincón
51,C317478,41,Mujer,María José González
52,C237330,53,Mujer,Valeria Jiménez
53,C626042,43,Mujer,Luciana Parra
54,C133687,45,Mujer,María Escobar
55,C841663,29,Mujer,Ximena Cárdenas
56,C213742,43,Hombre,Samuel Soto
57,C962515,19,Mujer,María Paula Guerrero
58,C112279,67,Mujer,Antonella Gallego
59,C158837,36,Mujer,María Peña
60,C336576,64,Hombre,Jhon Jairo Bedoya
61,C716161,33,Mujer,Patricia Romero
62,C439382,33,Mujer,María Ángel
63,C123427,66,Hombre,Cristian Camilo Vargas
64,C224743,29,Mujer,Ana Sofía Jiménez
65,C119549,22,Hombre,Juan David Zapata
66,C187266,63,Mujer,Antonella Gallego
67,C173084,24,Mujer,Monica López
68,C126956,24,Mujer,Mariana Ríos
69,C236859,44,Mujer,Isabella Restrepo
